sales_month,product_category_name,total_revenue,monthly_rank
2016-09,beleza_saude,134.97,1
2016-10,moveis_decoracao,5690.52,1
2016-10,perfumaria,4829.1,2
2016-10,brinquedos,4106.5,3
2016-10,consoles_games,3619.36,4
2016-10,beleza_saude,3439.25,5
2016-10,relogios_presentes,2711.07,6
2016-10,esporte_lazer,2012.15,7
2016-10,bebes,1371.17,8
2016-10,ferramentas_jardim,1359.88,9
2016-10,climatizacao,1349.29,10
2016-10,moveis_escritorio,1300.88,11
2016-10,utilidades_domesticas,1287.07,12
2016-10,automotivo,1128.26,13
2016-10,cool_stuff,1046.1,14
2016-10,market_place,915.29,15
2016-10,telefonia_fixa,704.88,16
2016-10,pet_shop,689.68,17
2016-10,informatica_acessorios,669.02,18
2016-10,cama_mesa_banho,478.99,19
2016-10,fashion_bolsas_e_acessorios,373.3,20
2016-10,industria_comercio_e_negocios,359.6,21
2016-10,telefonia,228.29,22
2016-10,audio,156.99,23
2016-10,fraldas_higiene,134.9,24
2016-10,eletronicos,107.99,25
2016-10,alimentos,79.9,26
2016-10,,65.89,27
2016-10,fashion_roupa_feminina,54.9,28
2016-10,fashion_calcados,29.99,29
2016-10,fashion_roupa_masculina,24.9,30
2016-12,fashion_bolsas_e_acessorios,10.9,1
2017-01,moveis_decoracao,13036.63,1
2017-01,beleza_saude,12366.44,2
2017-01,esporte_lazer,9212.14,3
2017-01,relogios_presentes,8086.52,4
2017-01,ferramentas_jardim,7466.95,5
2017-01,cool_stuff,6856.87,6
2017-01,bebes,6217.88,7
2017-01,perfumaria,5112.6,8
2017-01,automotivo,4820.03,9
2017-01,brinquedos,4568.19,10
2017-01,consoles_games,4514.44,11
2017-01,informatica_acessorios,3924.14,12
2017-01,cama_mesa_banho,3804.36,13
2017-01,utilidades_domesticas,2827.58,14
2017-01,pcs,2199.99,15
2017-01,eletrodomesticos_2,1916.78,16
2017-01,fashion_bolsas_e_acessorios,1671.97,17
2017-01,eletroportateis,1660.79,18
2017-01,,1603.64,19
2017-01,papelaria,1561.99,20
2017-01,moveis_sala,1241.9,21
2017-01,moveis_escritorio,1158.35,22
2017-01,pet_shop,799.12,23
2017-01,telefonia,755.94,24
2017-01,telefonia_fixa,677.12,25
2017-01,climatizacao,663.7,26
2017-01,eletronicos,617.0,27
2017-01,malas_acessorios,492.5,28
2017-01,market_place,414.14,29
2017-01,instrumentos_musicais,339.74,30
2017-01,livros_interesse_geral,234.89,31
2017-01,seguros_e_servicos,183.29,32
2017-01,fashion_underwear_e_moda_praia,137.25,33
